Job Title,Company,Location,Salary,Apply Link
Data analyst,Travel + Leisure Co.,Bengaluru,₹6L - ₹9L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_49ffdef6&cb=1713296185844&jobListingId=1009238766064&jrtk=5-yul1-0-1hrk6i66bk6p4800-d7509486d2cc9e55
Data Analyst,Intangles Lab,Pune,₹3L - ₹6L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_b5cae46e&cb=1713296185846&jobListingId=1009221835910&jrtk=5-yul1-0-1hrk6i66bk6p4800-1d21a7279ccc0387
Open Secret - Data Analyst ( Ecommerce / Qcommerce),Open Secret,India,₹40T - ₹45T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8218f618&cb=1713296185848&jobListingId=1009221382624&jrtk=5-yul1-0-1hrk6i66bk6p4800-76ddadfbac23fa6d
Operations Data Analyst,"Episource, LLC.",Chennai,₹6L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9e23807f&cb=1713296185846&jobListingId=1009200812892&jrtk=5-yul1-0-1hrk6i66bk6p4800-5710ad7873075a71
Data Analyst,Planet Health- Retail Chain Store of Pharmacy,India,₹20T - ₹45T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=209&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b4a8b32d&cb=1713296185846&jobListingId=1009199264769&jrtk=5-yul1-0-1hrk6i66bk6p4800-bfbbd0b81f05068c
Data Analyst,Aangan Trust,Okhla,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=210&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0407646&cb=1713296185847&jobListingId=1009229943628&jrtk=5-yul1-0-1hrk6i66bk6p4800-44f6ddb92e63f53b
Data Analyst,LegalRaasta Technologies Pvt Ltd,Pitampura,₹15T - ₹25T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=211&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5545b69a&cb=1713296185847&jobListingId=1009231812581&jrtk=5-yul1-0-1hrk6i66bk6p4800-8997312ff5f645d2
Data Analyst,Behtar Zindagi,Delhi,₹2L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=212&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6d3d61e4&cb=1713296185847&jobListingId=1009226555405&jrtk=5-yul1-0-1hrk6i66bk6p4800-748f761c6f763f58
Junior Data Analyst,Spectra Overseas,Rājkot,₹15T - ₹17T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=213&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_83c5ff2c&cb=1713296185848&jobListingId=1009226704651&jrtk=5-yul1-0-1hrk6i66bk6p4800-180a159c521e3de6
Data Analyst,Lloyds Technology Centre,Hyderābād,₹2L - ₹6L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_d97e4dc3&cb=1713296185846&jobListingId=1009235609972&jrtk=5-yul1-0-1hrk6i66bk6p4800-471ee115f6885ea1
Data Analyst,Kennect,Mumbai,₹5L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=215&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_8f25466f&cb=1713296185848&jobListingId=1009232250518&jrtk=5-yul1-0-1hrk6i66bk6p4800-90f74e968d968d33
Business analyst,Saasvaap,India,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_4cac02a0&cb=1713296185846&jobListingId=1009239472401&jrtk=5-yul1-0-1hrk6i66bk6p4800-8bd6e17d4d8e340e
Data Analyst,PAR,Jaipur,₹2L - ₹9L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=217&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_933c0b81&cb=1713296185848&jobListingId=1009217377824&jrtk=5-yul1-0-1hrk6i66bk6p4800-36cade17600bad5f
Data Analyst,Microsoft,Hyderābād,₹9L - ₹10L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=218&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_cbce9b65&cb=1713296185847&jobListingId=1009223988762&jrtk=5-yul1-0-1hrk6i66bk6p4800-aa1c566ffa28d60e
"Data Analyst, Global Trade",ASSPL - Karnataka,Bengaluru,₹4L - ₹9L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=219&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_5f9270f2&cb=1713296185847&jobListingId=1009236950173&jrtk=5-yul1-0-1hrk6i66bk6p4800-087835030d2bcf85
Trainee Junior Data Analyst,RP2,Cochin,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=220&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b9563001&cb=1713296185848&jobListingId=1009204722552&jrtk=5-yul1-0-1hrk6i66bk6p4800-43b283eb7f914176
Data Analyst,NOV Inc.,Navi Mumbai,₹6L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=221&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_da8b404a&cb=1713296185847&jobListingId=1009239108196&jrtk=5-yul1-0-1hrk6i66bk6p4800-9ed48dd46495db32
Data Analyst,Ethicsinfotech,Vadodara,₹2L - ₹6L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=222&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_2d350b6a&cb=1713296185847&jobListingId=1009239307463&jrtk=5-yul1-0-1hrk6i66bk6p4800-f504b349393f982a
Data Analyst,Digital Training Lab,India,₹15T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=223&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a7349d43&cb=1713296185848&jobListingId=1009228220369&jrtk=5-yul1-0-1hrk6i66bk6p4800-0a256c077f576309
Data Analyst,Renovision Automation Services Pvt. Ltd,Gurgaon,₹4L - ₹6L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=224&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ee7667be&cb=1713296185849&jobListingId=1009117959830&jrtk=5-yul1-0-1hrk6i66bk6p4800-dc3e8b6cb4b5db4c
Product Operations Analyst,G2,Bengaluru,₹5L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=225&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_cf022c09&cb=1713296185847&jobListingId=1009239515416&jrtk=5-yul1-0-1hrk6i66bk6p4800-d551a2e95e093327
Data Analyst,Client Site,Mumbai,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e65af99d&cb=1713296185848&jobListingId=1009226807231&jrtk=5-yul1-0-1hrk6i66bk6p4800-5ea8fccdee148267
Data Analyst,InterGlobe Aviation (IndiGo),Gurgaon,₹4L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_f8b7964e&cb=1713296185848&jobListingId=1009215673393&jrtk=5-yul1-0-1hrk6i66bk6p4800-653dc7e03c7e7a4f
Data Analyst,TechBlocks,India,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=228&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_17ecd9f1&cb=1713296185848&jobListingId=1009203644354&jrtk=5-yul1-0-1hrk6i66bk6p4800-efa2d45f76c9cea6
Business Analyst,PIXL,Hyderābād,₹10L - ₹14L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=229&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_03ba08cb&cb=1713296185848&jobListingId=1009219650673&jrtk=5-yul1-0-1hrk6i66bk6p4800-fedb18d8eacc1a6f
Compliance and Data Quality Analyst,Apollo Intelligence,India,₹5L - ₹6L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=230&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f4ea102c&cb=1713296185848&jobListingId=1009196064876&jrtk=5-yul1-0-1hrk6i66bk6p4800-135726d738d64814
Data Analyst,Shairu Gems Diamonds PVT.LTD.,India,₹15T - ₹20T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=301&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_df102ec9&cb=1713296189620&jobListingId=1009214800746&jrtk=5-yul1-0-1hrk6i9r9k7qh802-213347796159dc82
Analyst - QC data labelling,Zeitview,Bengaluru,₹3L - ₹8L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=302&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_aa74419f&cb=1713296189619&jobListingId=1008962303107&jrtk=5-yul1-0-1hrk6i9r9k7qh802-26b53f72675597a5
US Real-Estate Appraisal Data Analyst,ieIMPACT,Remote,₹25T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=303&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_718ef4f4&cb=1713296189620&jobListingId=1009190693909&jrtk=5-yul1-0-1hrk6i9r9k7qh802-805012a0ac2cb7e7
Data Analyst High Level Trainer,Albireo Tech System,Remote,₹15T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=304&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6fce7d2d&cb=1713296189619&jobListingId=1009124843010&jrtk=5-yul1-0-1hrk6i9r9k7qh802-80900cb9adcb2b03
Data Analyst,Transak,Bengaluru,₹3L - ₹8L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=305&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d1b9a9e7&cb=1713296189618&jobListingId=1009137841373&jrtk=5-yul1-0-1hrk6i9r9k7qh802-3d05ec47cc23fefe
Data Analyst,FindingPi Pvt Ltd,India,₹4L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=306&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b55d7f4&cb=1713296189619&jobListingId=1009216983923&jrtk=5-yul1-0-1hrk6i9r9k7qh802-1c3cc0e861e35cfa
Data Analyst Intern,DINGG,Pune,₹5T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=307&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_671304df&cb=1713296189619&jobListingId=1009206724334&jrtk=5-yul1-0-1hrk6i9r9k7qh802-08447f8c8ba91d38
Data Analyst,Big Boy Toyz,Gurgaon,₹3L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=308&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&cs=1_422732f9&cb=1713296189618&jobListingId=1009231609312&jrtk=5-yul1-0-1hrk6i9r9k7qh802-df93c100a6245209
"DATA ANALYST (POWER BI, EXCEL)",Coforge Ltd.,Greater Noida,₹4L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=309&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&cs=1_af00f339&cb=1713296189617&jobListingId=1009205134645&jrtk=5-yul1-0-1hrk6i9r9k7qh802-2d88373fee9a60ee
Data Analyst,Orbit & Skyline Semiconductor,Mohali,₹4L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=310&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_142132bb&cb=1713296189619&jobListingId=1009055854208&jrtk=5-yul1-0-1hrk6i9r9k7qh802-1c2d82f873681cb0
"Research Analyst (WFH Relevant candidates only, 0-2 year of experience)",SnD Confrere,Remote,₹8T - ₹12T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=311&ao=1136043&s=58&guid=0000018ee8692721acc3193b66bd57d6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_878ddf30&cb=1713296189620&jobListingId=1009199500975&jrtk=5-yul1-0-1hrk6i9r9k7qh802-361bcde0e99e56e5
